location_name,latitude,longitude,province,city,barangay,farm_name,farm_type,outbreak_date,reported_date,status,total_pigs_affected,total_pigs_mortality,total_pigs_depopulated,severity_level
"Tayabas Area 163",13.9347,121.5153,CALABARZON,Tayabas,Poblacion,"Farm 163 - Tayabas",wild_boar,2025-12-04,"2025-12-05 02:00:00",contained,219,151,148,high
"Cavite City Area 164",14.4263,120.993,CALABARZON,"Cavite City",,"Farm 164 - Cavite City",wild_boar,2025-12-05,"2025-12-06 06:00:00",suspected,146,22,55,
"Cainta Area 165",14.5911,121.0322,CALABARZON,Cainta,,"Farm 165 - Cainta",wild_boar,2025-12-05,"2025-12-07 12:00:00",contained,363,165,187,low
"Bacoor Area 166",14.5151,120.9238,CALABARZON,Bacoor,,,commercial,2025-12-06,"2025-12-08 22:00:00",contained,43,2,39,medium
"Los Baños Area 167",14.0987,121.2893,CALABARZON,"Los Baños",Maligaya,"Farm 167 - Los Baños",commercial,2025-12-08,"2025-12-10 03:00:00",resolved,34,0,16,
"Taytay Area 168",14.6427,121.1813,CALABARZON,Taytay,"San Roque","Farm 168 - Taytay",commercial,2025-12-08,"2025-12-09 20:00:00",confirmed,258,141,16,
"Batangas City Area 169",13.7755,121.0553,CALABARZON,"Batangas City","San Jose",,commercial,2025-12-09,"2025-12-11 05:00:00",contained,359,233,56,
"Biñan Area 170",14.3733,121.1663,CALABARZON,Biñan,Mabuhay,"Farm 170 - Biñan",commercial,2025-12-12,"2025-12-12 16:00:00",contained,279,73,1,critical
"Lipa Area 171",13.9907,121.2003,CALABARZON,Lipa,Bagumbayan,,commercial,2025-12-13,"2025-12-13 09:00:00",contained,26,19,3,high
"Dasmarinas Area 172",14.3674,120.8747,CALABARZON,Dasmarinas,Poblacion,"Farm 172 - Dasmarinas",semi-commercial,2025-12-14,"2025-12-14 17:00:00",confirmed,69,34,8,medium
"Batangas City Area 173",13.7655,121.0963,CALABARZON,"Batangas City","Bagong Silang","Farm 173 - Batangas City",semi-commercial,2025-12-14,"2025-12-16 17:00:00",contained,103,18,0,high
"Dasmarinas Area 174",14.3294,120.9187,CALABARZON,Dasmarinas,,"Farm 174 - Dasmarinas",wild_boar,2025-12-14,"2025-12-15 17:00:00",contained,489,208,159,low
"Dasmarinas Area 175",14.3084,120.9687,CALABARZON,Dasmarinas,,"Farm 175 - Dasmarinas",wild_boar,2025-12-15,"2025-12-17 15:00:00",suspected,128,20,43,high
"Taytay Area 176",14.4947,121.1003,CALABARZON,Taytay,"Bagong Silang",,wild_boar,2025-12-16,"2025-12-17 06:00:00",suspected,157,89,69,medium
"Angono Area 177",14.5196,121.0924,CALABARZON,Angono,"San Roque","Farm 177 - Angono",backyard,2025-12-16,"2025-12-18 12:00:00",contained,330,172,319,
"Cavite City Area 178",14.4093,120.888,CALABARZON,"Cavite City","Bagong Silang","Farm 178 - Cavite City",wild_boar,2025-12-17,"2025-12-17 22:00:00",resolved,87,42,39,medium
"Tanauan Area 179",14.0893,121.071,CALABARZON,Tanauan,,"Farm 179 - Tanauan",commercial,2025-12-18,"2025-12-19 07:00:00",suspected,371,143,335,
"Lucena Area 180",13.9363,121.6477,CALABARZON,Lucena,"Barangay 1","Farm 180 - Lucena",wild_boar,2025-12-18,"2025-12-19 21:00:00",contained,107,71,41,low
"Lucena Area 181",14.0053,121.5377,CALABARZON,Lucena,,"Farm 181 - Lucena",semi-commercial,2025-12-20,"2025-12-22 19:00:00",resolved,131,20,119,
"Tagaytay Area 182",14.196,120.9323,CALABARZON,Tagaytay,"Sta. Ana","Farm 182 - Tagaytay",semi-commercial,2025-12-20,"2025-12-20 16:00:00",contained,252,28,133,
"Batangas City Area 183",13.7135,121.1483,CALABARZON,"Batangas City","San Jose",,commercial,2025-12-21,"2025-12-22 13:00:00",suspected,128,83,26,low
"Tanauan Area 184",14.0823,121.181,CALABARZON,Tanauan,"Sta. Maria",,backyard,2025-12-21,"2025-12-22 18:00:00",contained,101,44,15,critical
"Tanauan Area 185",14.0523,121.137,CALABARZON,Tanauan,"Bagong Silang",,semi-commercial,2025-12-22,"2025-12-23 18:00:00",suspected,41,3,3,
"San Pedro Area 186",14.3427,121.068,CALABARZON,"San Pedro","San Isidro","Farm 186 - San Pedro",commercial,2025-12-22,"2025-12-24 00:00:00",contained,197,16,50,high
"Tayabas Area 187",13.9537,121.6823,CALABARZON,Tayabas,"Barangay 1","Farm 187 - Tayabas",wild_boar,2025-12-23,"2025-12-23 06:00:00",confirmed,135,73,68,medium
"Dasmarinas Area 188",14.4274,120.8817,CALABARZON,Dasmarinas,"San Isidro","Farm 188 - Dasmarinas",backyard,2025-12-23,"2025-12-24 14:00:00",suspected,136,108,5,low
"Angono Area 189",14.5406,121.1364,CALABARZON,Angono,,"Farm 189 - Angono",semi-commercial,2025-12-25,"2025-12-27 13:00:00",suspected,475,136,459,
"Lipa Area 190",14.0157,121.0883,CALABARZON,Lipa,"Barangay 2","Farm 190 - Lipa",commercial,2025-12-26,"2025-12-28 13:00:00",confirmed,223,66,172,low
"Angono Area 191",14.4296,121.2434,CALABARZON,Angono,"Bagong Silang",,semi-commercial,2025-12-31,"2025-12-31 21:00:00",resolved,381,91,134,medium
"Calamba Area 192",14.1141,121.2113,CALABARZON,Calamba,Pangarap,"Farm 192 - Calamba",wild_boar,2025-12-31,"2026-01-01 11:00:00",resolved,480,236,42,high
"Dasmarinas Area 193",14.3894,120.9917,CALABARZON,Dasmarinas,"Bagong Silang","Farm 193 - Dasmarinas",backyard,2026-01-01,"2026-01-03 21:00:00",contained,153,89,57,low
"Gumaca Area 194",14.0127,122.121,CALABARZON,Gumaca,Poblacion,"Farm 194 - Gumaca",semi-commercial,2026-01-03,"2026-01-04 05:00:00",confirmed,426,44,292,critical
"Tayabas Area 195",13.9467,121.6493,CALABARZON,Tayabas,,"Farm 195 - Tayabas",backyard,2026-01-03,"2026-01-03 21:00:00",confirmed,28,5,28,
"Tayabas Area 196",14.0927,121.6293,CALABARZON,Tayabas,Mabuhay,,semi-commercial,2026-01-04,"2026-01-04 01:00:00",resolved,335,180,129,critical
"Taytay Area 197",14.6567,121.1743,CALABARZON,Taytay,,"Farm 197 - Taytay",wild_boar,2026-01-04,"2026-01-04 01:00:00",contained,215,18,73,medium
"Los Baños Area 198",14.1027,121.1773,CALABARZON,"Los Baños",Mabuhay,"Farm 198 - Los Baños",semi-commercial,2026-01-05,"2026-01-06 15:00:00",resolved,489,49,362,low
"Tanauan Area 199",14.0593,121.133,CALABARZON,Tanauan,"San Antonio","Farm 199 - Tanauan",backyard,2026-01-06,"2026-01-08 12:00:00",contained,27,1,9,critical
"Lucena Area 200",14.0053,121.6247,CALABARZON,Lucena,"Barangay 2",,commercial,2026-01-07,"2026-01-07 21:00:00",contained,347,8,265,
"Dasmarinas Area 201",14.3334,121.0327,CALABARZON,Dasmarinas,"San Roque","Farm 201 - Dasmarinas",semi-commercial,2026-01-08,"2026-01-08 15:00:00",contained,234,22,228,medium
"Lipa Area 202",13.9427,121.1973,CALABARZON,Lipa,Poblacion,"Farm 202 - Lipa",semi-commercial,2026-01-09,"2026-01-09 21:00:00",resolved,180,55,171,critical
"Dasmarinas Area 203",14.2864,120.9927,CALABARZON,Dasmarinas,"San Miguel",,backyard,2026-01-09,"2026-01-11 15:00:00",resolved,272,18,62,medium
"Antipolo Area 204",14.6322,121.1253,CALABARZON,Antipolo,,,wild_boar,2026-01-09,"2026-01-10 19:00:00",contained,32,17,4,
"Lucena Area 205",14.0063,121.6087,CALABARZON,Lucena,"Barangay 2",,backyard,2026-01-10,"2026-01-11 05:00:00",suspected,47,7,7,
"Los Baños Area 206",14.2027,121.1733,CALABARZON,"Los Baños","Barangay 1","Farm 206 - Los Baños",wild_boar,2026-01-11,"2026-01-11 02:00:00",suspected,14,0,11,low
